الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
التربة القلوية	碱性土	alkaline soil	sol alcalin	Щелочные почвы	suelo alcalino
اقتصاديات الأسواق المتقدمة	发达市场经济	developed market economies	economies de marche developpees	Развитые страны с рыночной экономикой	economias de mercado desarrolladas
المناطق الصناعية	工业地区	industrial areas	zones industrielles	Промышленные районы	zonas industriales
الفقر	贫穷	poverty	pauvrete	Бедность	pobreza
محاربة الفقر	减轻贫穷	poverty mitigation	diminution de la pauvrete	Борьба с нищетой	mitigacion de la pobreza
علم الغابات	林业	forestry	foresterie	Лесное хозяйство	ciencias forestales
الولادة	生育	childbirth	accouchement	Роды (физиологический процесс)	parto
المغناطيسية	磁性	magnetism	magnetisme	Магнетизм	magnetismo
الإسكان التأجيري	租房	rental housing	logement en location	Арендное жилье	vivienda en arriendo
ناقلات الحاويات	集装箱船	container ships	navires porte-conteneurs	Контейнерные суда	buques portacontenedores
ميكانيكا الأجرام السماوية	天体力学	celestial mechanics	mecanique celeste	Небесная механика	mecanica celeste
البروتستانتيون	新教教徒	protestants	protestants	Протестанты	protestantes
الطرق الرئيسية	高速公路	highways	autoroutes	Автомагистрали	autopistas
 المراقبة بواسطة الكاميرات 	摄像监视器	camera-monitors	systeme a cameras et moniteurs	Видеокамеры/видеомониторы	camaras de monitoreo
الاقتصاد الكلي	宏观经济学	macroeconomics	macroeconomie	Макроэкономика	macroeconomia
المدنيون	平民	civilian persons	civils	Гражданское население	civiles
المنغنيز	锰	manganese	manganese	Марганец	manganeso
المواصفات الدولية للعمل	国际劳工标准	international labour standards	normes internationales du travail	Международные трудовые нормы	normas internacionales del trabajo
المحيط الحيوي	生物圈	biosphere	biosphere	Биосфера	biosfera
دورة الوقود النووي	核燃料循环	nuclear fuel cycle	cycle du combustible nucleaire	Ядерно-топливный цикл	ciclo del combustible nuclear
الجولات الدراسية	考察旅行	study tours	voyages d'etude	Учебные поездки	viajes de estudios
شعارات النبالة	纹章学	heraldry	heraldique	Геральдика	heraldica
البنية الاجتماعية	社会结构	social structure	structure sociale	Социальная структура	estructura social
عائدات الاستثمار	投资回报	investment returns	revenu des investissements	Прибыль на инвестированный капитал	ingresos por inversiones
العلاقات بين الأفراد	人际关系	interpersonal relations	relations interpersonnelles	Межличностные отношения	relaciones interpersonales
تخطيط المؤسسات	公司规划	corporate planning	planification dans l'entreprise	Корпоративное планирование	planificacion empresarial
قانون الفضاء	空间法	space law	droit de l'espace	Космическое право	derecho del espacio
شرق أفريقيا	东非	east africa	afrique de l'est	Восточная Африка	africa oriental
الإدماج الاجتماعي	社会融合	social integration	integration sociale	Социальная интеграция	integracion social
الفلفل الحار	辣椒	chillies	piments	Красный стручковый перец	pimiento
تنمية المشاريع	企业发展	enterprise development	developpement des entreprises	Развитие предпринимательства	desarrollo de empresas
المضايقة الجنسية	性骚扰	sexual harassment	harcelement sexuel	Сексуальные домогательства	acoso sexual
